SYMBOL	AverageAverage expression	id
BEST3	0.342893099	normal
BEST3	1.575299009	tumor
POM121L9P	0.104778397	normal
POM121L9P	0.755258068	tumor
CD180	0.283973235	normal
CD180	1.218985617	tumor
DUSP6	2.68684148	normal
DUSP6	4.154888355	tumor
G6PC3	3.520944825	normal
G6PC3	4.801959604	tumor
HEY1	3.541303663	normal
HEY1	5.270430596	tumor
EN2	0.23164554	normal
EN2	1.212010733	tumor
HOXB2	0.0647934	normal
HOXB2	1.869612427	tumor
DLEU1	0.146037399	normal
DLEU1	0.737819513	tumor
IRX5	0.02667034	normal
IRX5	0.860167966	tumor
LBH	2.431472128	normal
LBH	3.694256345	tumor
ZEB1-AS1	0.765460592	normal
ZEB1-AS1	1.397993544	tumor
LINC01265	0.142104629	normal
LINC01265	0.563415786	tumor
AGAP2-AS1	1.388558768	normal
AGAP2-AS1	3.33379968	tumor
